Local Peak Maximum (Comp. extension 1 % Change) : HoraalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;sec
Local Peak Maximum (Comp. extension 1 % Change) : CargaalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;N
Local Peak Maximum (Comp. extension 1 % Change) : Extensión por compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;mm
Local Peak Maximum (Comp. extension 1 % Change) : Esfuerzo de compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;MPa

Hora;Extensión;Carga
(sec);(mm);(N)
0,00000;-0,00688;-120,10840
0,14000;-0,00723;-122,66036
0,16600;-0,00741;-125,23670
0,18200;-0,00759;-127,79710
0,19800;-0,00771;-130,60012
0,21200;-0,00789;-133,36035
0,22400;-0,00801;-136,12676
0,23400;-0,00813;-138,65846
0,24600;-0,00825;-141,60307
0,25600;-0,00837;-144,20869
0,26600;-0,00843;-146,92144
0,27600;-0,00855;-149,66660
0,28600;-0,00867;-152,28201
0,29600;-0,00879;-154,92993
0,30800;-0,00891;-157,84116
0,31800;-0,00903;-160,59268
0,32800;-0,00915;-163,44369
0,33800;-0,00927;-166,40828
0,34800;-0,00939;-169,06766
0,35800;-0,00951;-172,09306
0,36800;-0,00957;-174,88895
0,37800;-0,00969;-177,62822
0,38800;-0,00981;-180,23364
0,39800;-0,00993;-182,98840
0,41000;-0,01004;-186,00998
0,42000;-0,01016;-188,92855
0,43000;-0,01028;-191,69741
0,44000;-0,01034;-194,39193
0,45000;-0,01046;-197,08942
0,46000;-0,01058;-199,59409
0,47200;-0,01070;-202,52792
0,48200;-0,01082;-205,06745
0,49200;-0,01088;-207,93050
0,50200;-0,01100;-210,81246
0,51200;-0,01112;-213,55897
0,52400;-0,01118;-216,44044
0,53600;-0,01130;-219,25403
0,54800;-0,01142;-221,76076
0,56200;-0,01154;-224,49105
0,57600;-0,01166;-227,33861
0,59000;-0,01178;-230,11961
0,60600;-0,01190;-232,89844
0,61800;-0,01196;-235,45453
0,63000;-0,01208;-237,98868
0,64200;-0,01220;-240,65834
0,65400;-0,01226;-243,36129
0,66800;-0,01238;-246,03358
0,68400;-0,01250;-248,80331
0,70200;-0,01262;-251,38732
0,71800;-0,01279;-254,09928
0,73000;-0,01285;-256,69413
0,74400;-0,01297;-259,55276
0,75600;-0,01303;-262,09583
0,77200;-0,01315;-264,93527
0,78600;-0,01327;-267,48155
0,80000;-0,01339;-270,22033
0,81600;-0,01351;-273,09572
0,83000;-0,01363;-275,67111
0,84800;-0,01375;-278,40880
0,86400;-0,01387;-281,04214
0,87800;-0,01399;-283,87366
0,89000;-0,01411;-286,67895
0,90400;-0,01423;-289,35526
0,91800;-0,01435;-292,23270
0,93000;-0,01441;-294,89179
0,94200;-0,01453;-297,56243
0,95600;-0,01465;-300,31817
0,97000;-0,01477;-302,96962
0,98200;-0,01483;-305,55066
0,99600;-0,01495;-308,22854
1,00800;-0,01507;-311,06947
1,02200;-0,01519;-313,87827
1,03800;-0,01531;-316,69363
1,05200;-0,01543;-319,25363
1,06400;-0,01555;-321,86159
1,07600;-0,01561;-324,64270
1,08800;-0,01572;-327,29032
1,10000;-0,01578;-329,88761
1,11400;-0,01590;-332,75047
1,12800;-0,01602;-335,55890
1,14200;-0,01614;-338,28819
1,15600;-0,01626;-340,85326
1,17000;-0,01638;-343,73531
1,18400;-0,01650;-346,45796
1,19600;-0,01656;-349,15071
1,21000;-0,01668;-351,98489
1,22400;-0,01680;-354,58012
1,23800;-0,01692;-357,47795
1,25000;-0,01704;-360,27832
1,26000;-0,01716;-362,79338
1,27200;-0,01722;-365,63703
1,28200;-0,01734;-368,17519
1,29400;-0,01746;-371,04499
1,30600;-0,01758;-373,90080
1,31600;-0,01770;-376,52042
1,32600;-0,01776;-379,09285
1,33800;-0,01788;-381,85329
1,34800;-0,01794;-384,35541
1,36000;-0,01806;-387,31568
1,37000;-0,01818;-390,11803
1,38000;-0,01824;-392,61901
1,39200;-0,01836;-395,50625
1,40400;-0,01842;-398,21663
1,41800;-0,01853;-401,08631
1,43200;-0,01865;-403,82012
1,44600;-0,01877;-406,43634
1,45800;-0,01889;-409,02579
1,47200;-0,01895;-411,91187
1,48400;-0,01907;-414,44646
1,49800;-0,01919;-417,32737
1,51000;-0,01931;-420,08180
1,52200;-0,01937;-422,60089
1,53600;-0,01949;-425,29521
1,54800;-0,01961;-428,14123
1,56000;-0,01973;-430,94610
1,57000;-0,01979;-433,51999
1,58200;-0,01991;-436,22279
1,59400;-0,02003;-438,86304
1,60600;-0,02015;-441,75712
1,61600;-0,02021;-444,26448
1,62800;-0,02033;-447,00992
1,64000;-0,02045;-449,90196
1,65000;-0,02057;-452,44638
1,66000;-0,02069;-455,12300
1,67000;-0,02075;-457,91767
1,68000;-0,02087;-460,52332
1,69000;-0,02099;-463,18718
1,70000;-0,02105;-465,96290
1,71000;-0,02117;-468,62755
1,72000;-0,02123;-471,31502
1,73000;-0,02134;-473,83793
1,74200;-0,02146;-476,61187
1,75400;-0,02152;-479,52584
1,76600;-0,02164;-482,28479
1,77800;-0,02170;-484,97622
1,79000;-0,02182;-487,62783
1,80400;-0,02194;-490,29654
1,81800;-0,02206;-493,03570
1,83400;-0,02218;-495,76727
1,84600;-0,02224;-498,31322
1,85800;-0,02236;-501,03315
1,87000;-0,02242;-503,55927
1,88400;-0,02254;-506,36600
1,89800;-0,02266;-509,02781
1,91200;-0,02278;-511,80832
1,92600;-0,02290;-514,33765
1,94000;-0,02296;-517,08370
1,95400;-0,02308;-519,64908
1,96800;-0,02320;-522,27820
1,98400;-0,02332;-525,07683
1,99800;-0,02344;-527,72346
2,01200;-0,02356;-530,38686
2,02600;-0,02362;-533,08434
2,04000;-0,02374;-535,69712
2,05400;-0,02386;-538,41858
2,06600;-0,02392;-540,93841
2,07800;-0,02404;-543,61220
2,09200;-0,02415;-546,39005
2,11000;-0,02427;-549,17545
2,12400;-0,02439;-551,77277
2,13800;-0,02451;-554,43761
2,15200;-0,02463;-557,08885
2,16600;-0,02475;-559,69381
2,17800;-0,02487;-562,19967
2,19000;-0,02493;-565,12314
2,20000;-0,02505;-567,66882
2,21000;-0,02511;-570,28793
2,22200;-0,02523;-573,09107
2,23600;-0,02529;-575,63442
2,25000;-0,02541;-578,40133
2,26400;-0,02553;-580,94878
2,28000;-0,02565;-583,46214
2,29400;-0,02577;-585,98551
2,30800;-0,02589;-588,79042
2,32000;-0,02601;-591,38625
2,33200;-0,02607;-594,04024
2,34600;-0,02619;-596,59239
