Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0;0,11915
0;0,11441
0,00001;0,11585
0,00005;0,11622
0,00011;0,1251
0,00016;0,14659
0,00022;0,1663
0,00027;0,18273
0,00032;0,20337
0,00037;0,22081
0,00042;0,24471
0,00046;0,25482
0,0005;0,26979
0,00053;0,28236
0,00057;0,29946
0,00061;0,31379
0,00065;0,3325
0,00069;0,33973
0,00073;0,35598
0,00077;0,37215
0,00081;0,38496
0,00085;0,39584
0,0009;0,40529
0,00095;0,41433
0,00099;0,42107
0,00102;0,42813
0,00106;0,43404
0,0011;0,43638
0,00114;0,43991
0,00118;0,44297
0,00122;0,4486
0,00126;0,45142
0,0013;0,45497
0,00134;0,45738
0,00139;0,46118
0,00144;0,46346
0,00148;0,46643
0,00152;0,4691
0,00155;0,47073
0,0016;0,47293
0,00164;0,47775
0,00167;0,48226
0,00171;0,48599
0,00176;0,48842
0,0018;0,49236
0,00184;0,49452
0,00188;0,4985
0,00192;0,5014
0,00197;0,50768
0,00201;0,50934
0,00205;0,51038
0,00208;0,51625
0,00212;0,51715
0,00216;0,52004
0,0022;0,52331
0,00224;0,52513
0,00228;0,52785
0,00233;0,53239
0,00237;0,53237
0,00241;0,53546
0,00246;0,53785
0,0025;0,54201
0,00254;0,54314
0,00258;0,54484
0,00262;0,54843
0,00266;0,54932
0,00269;0,55321
0,00273;0,55078
0,00278;0,54709
0,00282;0,54881
0,00286;0,55093
0,0029;0,54285
0,00295;0,53958
0,00299;0,55463
0,00303;0,53824
0,00307;0,55449
0,00311;0,56465
0,00315;0,56624
0,00319;0,5727
0,00323;0,57163
0,00326;0,55988
0,00331;0,56058
0,00335;0,56185
0,00339;0,56151
0,00343;0,57386
0,00348;0,57731
0,00352;0,58183
0,00356;0,57815
0,0036;0,57786
0,00364;0,57905
0,00368;0,59523
0,00372;0,60373
0,00376;0,60131
0,0038;0,60391
0,00384;0,60536
0,00389;0,60666
0,00393;0,5878
0,00397;0,60347
0,00401;0,60232
0,00405;0,60133
0,00409;0,59797
0,00413;0,59892
0,00417;0,60433
0,00421;0,62428
0,00425;0,62199
0,00429;0,62237
0,00433;0,6244
0,00437;0,62648
0,00441;0,6268
0,00445;0,63174
0,0045;0,63095
0,00454;0,63261
0,00458;0,63173
0,00462;0,63557
0,00466;0,63411
0,0047;0,63852
0,00474;0,6397
0,00478;0,64001
0,00482;0,64314
0,00486;0,64028
0,0049;0,64715
0,00494;0,64629
0,00499;0,64834
0,00504;0,65072
0,00508;0,65131
0,00511;0,65208
0,00515;0,65365
0,00519;0,65551
0,00523;0,65634
0,00527;0,65792
0,00531;0,65925
0,00535;0,66274
0,0054;0,66046
0,00543;0,66498
0,00547;0,66594
0,00552;0,66881
0,00557;0,67021
0,0056;0,67125
0,00564;0,66881
0,00568;0,675
0,00572;0,68038
0,00576;0,69303
0,0058;0,68483
0,00584;0,68477
0,00589;0,68762
0,00593;0,68991
0,00597;0,69253
0,00601;0,70183
0,00606;0,69701
0,00609;0,69828
0,00613;0,70265
0,00617;0,70622
0,00621;0,71006
0,00625;0,71104
0,00629;0,71042
0,00633;0,715
0,00637;0,72115
0,00642;0,72218
0,00646;0,72163
0,0065;0,72374
0,00655;0,73142
0,00659;0,73405
0,00663;0,73372
0,00666;0,73287
0,0067;0,73785
0,00674;0,74171
0,00678;0,74374
0,00682;0,74973
0,00686;0,76002
0,00691;0,76635
0,00695;0,77596
0,00699;0,75194
0,00703;0,75596
0,00708;0,76009
0,00712;0,76002
0,00716;0,76406
0,00719;0,75832
0,00723;0,76475
0,00727;0,76974
0,00731;0,7699
0,00735;0,77573
0,0074;0,77669
0,00744;0,77653
0,00748;0,7751
0,00752;0,78152
0,00757;0,78515
0,00761;0,78511
0,00765;0,7878
0,00769;0,79025
0,00773;0,78697
0,00776;0,7877
0,00781;0,79303
0,00784;0,79515
0,00788;0,80002
0,00793;0,80385
0,00797;0,79989
0,00801;0,80792
0,00805;0,81078
0,0081;0,81217
0,00814;0,81203
0,00818;0,81676
0,00822;0,81452
0,00825;0,81629
0,00829;0,82203
0,00833;0,82429
0,00837;0,82376
0,00842;0,82784
0,00846;0,82922
0,0085;0,83182
0,00854;0,83504
0,00859;0,83643
0,00864;0,83681
0,00867;0,83818
0,00871;0,84055
0,00874;0,84053
0,00878;0,84309
0,00883;0,84601
0,00886;0,84759
0,00891;0,84978
0,00895;0,85349
0,00899;0,8553
0,00903;0,85892
0,00907;0,86217
0,00912;0,86773
0,00916;0,8689
0,0092;0,86936
0,00924;0,87448
0,00928;0,87577
0,00932;0,87811
