Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0;0,10831
0;0,10736
0,00002;0,10756
0,00004;0,10957
0,0001;0,11718
0,00016;0,13046
0,00022;0,14319
0,00028;0,15481
0,00033;0,16426
0,00038;0,17546
0,00043;0,18643
0,00047;0,19665
0,00051;0,2033
0,00055;0,21272
0,00059;0,22188
0,00063;0,23043
0,00067;0,24291
0,00071;0,24998
0,00076;0,25602
0,0008;0,26298
0,00084;0,26834
0,00089;0,27135
0,00094;0,27408
0,00099;0,27516
0,00103;0,27663
0,00106;0,27808
0,0011;0,27682
0,00114;0,27993
0,00118;0,28057
0,00122;0,28237
0,00126;0,28314
0,00131;0,28404
0,00135;0,28399
0,00139;0,28584
0,00144;0,28607
0,00149;0,2881
0,00153;0,28859
0,00157;0,28791
0,00161;0,29135
0,00165;0,29043
0,00169;0,29119
0,00173;0,29282
0,00177;0,29367
0,00182;0,29467
0,00186;0,29555
0,0019;0,29651
0,00195;0,29745
0,00199;0,29791
0,00204;0,29999
0,00208;0,30025
0,00212;0,30058
0,00216;0,3018
0,0022;0,30155
0,00224;0,30291
0,00228;0,30239
0,00232;0,30416
0,00237;0,30602
0,00241;0,30552
0,00245;0,30716
0,0025;0,30728
0,00254;0,30876
0,00259;0,31054
0,00263;0,31012
0,00267;0,31014
0,00271;0,31137
0,00275;0,31327
0,00279;0,31268
0,00283;0,31343
0,00287;0,31498
0,00292;0,31586
0,00296;0,31687
0,003;0,31654
0,00305;0,31781
0,0031;0,31981
0,00314;0,32052
0,00318;0,32024
0,00322;0,3197
0,00326;0,32218
0,0033;0,32307
0,00334;0,32401
0,00338;0,3236
0,00343;0,32466
0,00347;0,32702
0,00351;0,32608
0,00355;0,32679
0,0036;0,32828
0,00365;0,32995
0,00369;0,32971
0,00373;0,33033
0,00377;0,33035
0,00381;0,33229
0,00385;0,33104
0,00389;0,33276
0,00393;0,33371
0,00397;0,33555
0,00402;0,33579
0,00406;0,33583
0,00411;0,33721
0,00416;0,33915
0,0042;0,33961
0,00424;0,3401
0,00428;0,34018
0,00431;0,34046
0,00436;0,34151
0,0044;0,34209
0,00444;0,34375
0,00448;0,34493
0,00452;0,34511
0,00457;0,34697
0,00461;0,3492
0,00466;0,35003
0,00471;0,35052
0,00475;0,35314
0,00479;0,35552
0,00482;0,35551
0,00486;0,3581
0,00491;0,36109
0,00495;0,36373
0,00499;0,36586
0,00503;0,36914
0,00508;0,37148
0,00512;0,37444
0,00516;0,3775
